index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,reasoning,attribute_scores,emotions,romance_topics,party_club,violence,politics_religion,success_money,family,slang_usage,formal_language,profanity,intensifiers,hedges,first_person,second_person,third_person,confidence,doubt_uncertainty,politeness,aggression_toxicity,cultural_references
0,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,male,north america,spotify,Male,North America,"The lyrics heavily focus on a romantic encounter with a hesitant protagonist, using formal language and polite requests. The family references and mentions of societal judgment suggest a North American setting. The overall tone is somewhat uncertain and playful, leaning towards a male perspective given the phrasing and internal conflict.","{'emotions': 7, 'romance_topics': 9, 'party_club': 2, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 6, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 6, 'hedges': 5, 'first_person': 7, 'second_person': 6, 'third_person': 4, 'confidence': 4, 'doubt_uncertainty': 6, 'politeness': 4, 'aggression_toxicity': 1, 'cultural_references': 3}",7,9,2,1,1,1,6,4,3,1,6,5,7,6,4,4,6,4,1,3
1,Satisfy You,Diddy,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic connection and devotion, using first-person perspective extensively to express feelings and promises. Slang is present, and there's a moderate amount of profanity. The rejection of material wealth suggests a focus on genuine connection over superficial success, aligning with a North American male artist persona.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 6, 'family': 1, 'slang_usage': 7, 'formal_language': 3, 'profanity': 5, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 8, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 5}",8,9,1,1,1,6,1,7,3,5,6,1,9,8,3,7,3,1,2,5
2,Tender Lover,Babyface,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic relationships, heartbreak, and the enduring power of love, suggesting a male artist from North America given the thematic focus and relatively simple language.","{'emotions': 8, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 7, 'second_person': 6, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 3, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 1}",8,10,1,1,1,2,1,4,3,1,4,1,7,6,2,5,3,2,1,1
3,Una Vaina Loca,Fuego,male,north america,spotify,Male,North America,"The lyrics are highly explicit and sexually charged, indicating a strong focus on romance and intense emotions. The heavy use of slang, profanity, and aggressive language points to a male artist likely from North America, given the prevalent use of informal and potentially regional slang. The violent and aggressive imagery, coupled with the explicit content, warrants a high score for aggression and toxicity.","{'emotions': 8, 'romance_topics': 9, 'party_club': 4, 'violence': 7, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 10, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 6}",8,9,4,7,1,2,1,8,1,10,6,1,9,8,2,7,1,1,8,6
4,La Mordidita,Ricky Martin,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic and sexual themes with explicit language and imagery. The use of slang and informal language, combined with a confident, assertive tone and occasional aggression, suggests a male artist from North America, likely influenced by hip-hop or R&B culture.","{'emotions': 8, 'romance_topics': 10, 'party_club': 7, 'violence': 6, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 7, 'formal_language': 3, 'profanity': 6, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 4, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 4}",8,10,7,6,1,3,1,7,3,6,6,1,8,6,2,7,4,1,5,4
5,Changes,2Pac,male,north america,spotify,Male,North America,"The lyrics express intense emotions like anger, frustration, and sadness related to poverty, racism, and violence. Frequent use of slang and profanity, combined with themes of racial injustice and societal breakdown, strongly suggest a North American, male artist. The direct language and confrontational tone indicate a high level of aggression and cultural references specific to the African American experience.","{'emotions': 9, 'romance_topics': 1, 'party_club': 4, 'violence': 8, 'politics_religion': 6, 'success_money': 4, 'family': 5, 'slang_usage': 8, 'formal_language': 1, 'profanity': 7, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 2, 'third_person': 5, 'confidence': 5, 'doubt_uncertainty': 4, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 9}",9,1,4,8,6,4,5,8,1,7,4,1,8,2,5,5,4,1,7,9
6,Suga Suga,Baby Bash,male,north america,spotify,Male,North America,"The lyrics heavily feature romantic themes and slang, with frequent references to drugs, money, and a confident, assertive persona. The use of informal language, slang terms, and explicit content points towards a male artist from North America.","{'emotions': 8, 'romance_topics': 9, 'party_club': 7, 'violence': 4, 'politics_religion': 2, 'success_money': 7, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 6, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",8,9,7,4,2,7,1,9,1,6,6,1,8,6,3,7,1,1,4,6
7,Secrets,The Weeknd,male,north america,spotify,Male,North America,"The lyrics heavily focus on a romantic relationship, betrayal, and emotional turmoil. The repetitive phrasing and direct address ('you') suggest a confrontational dynamic. The lack of slang or formal language, and minimal references to external factors point towards a North American male artist expressing heartbreak and suspicion.","{'emotions': 8, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 3, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 6, 'second_person': 8, 'third_person': 2, 'confidence': 4, 'doubt_uncertainty': 5, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 2}",8,10,1,1,1,1,1,3,3,1,4,1,6,8,2,4,5,1,4,2
8,Me Enamoré,Jay Wheeler,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic feelings and declarations of love, utilizing first-person perspective extensively. The language is relatively simple and conversational, suggesting a North American origin. There's a degree of vulnerability and uncertainty present, but the overall tone is earnest and romantic, leaning towards a male artist.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 6, 'hedges': 5, 'first_person': 10, 'second_person': 8, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 6, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 2}",9,10,1,1,1,1,1,4,3,1,6,5,10,8,2,5,6,2,1,2
9,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,female,north america,spotify,Male,North America,"The lyrics emphasize personal empowerment, overcoming obstacles, and a sense of adventure ('rockets in the night,' 'roller coaster'). Frequent use of 'you and I' indicates a connection, but not a strong romantic theme. Slang like 'boom boom' and phrases like 'make a mess' contribute to a casual tone. The overall message is motivational and energetic, suggesting a North American male artist.","{'emotions': 7, 'romance_topics': 4, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 1, 'slang_usage': 6, 'formal_language': 2, 'profanity': 2, 'intensifiers': 5, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 4}",7,4,3,2,1,5,1,6,2,2,5,1,8,6,2,6,2,1,2,4
