index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,gender_keywords,gender_reasoning,continent_keywords,continent_reasoning,raw_model_response
0,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,male,north america,spotify,,North America,,,,,CONTINENT: North America
1,Satisfy You,Diddy,male,north america,spotify,,North America,,,,,CONTINENT: North America
2,Tender Lover,Babyface,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
3,Una Vaina Loca,Fuego,male,north america,spotify,,South America,,,,,CONTINENT: South America
4,La Mordidita,Ricky Martin,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
5,Changes,2Pac,male,north america,spotify,,North America,,,,,CONTINENT: North America
6,Suga Suga,Baby Bash,male,north america,spotify,,North America,,,,,CONTINENT: North America
7,Secrets,The Weeknd,male,north america,spotify,,North America,,,,,CONTINENT: North America
8,Me Enamoré,Jay Wheeler,male,north america,spotify,,North America,,,,,CONTINENT: North America
9,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,female,north america,spotify,,North America,,,,,CONTINENT: North America
10,La Vida Es Una (feat. Pitbull),Lil Jon,male,north america,spotify,,North America,,,,,CONTINENT: North America
11,We Own It (Fast & Furious),2 Chainz,male,north america,spotify,,North America,,,,,CONTINENT: North America
12,Ain't No Future In Yo' Frontin',MC Breed,male,north america,spotify,,North America,,,,,CONTINENT: North America
13,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,female,north america,spotify,,North America,,,,,CONTINENT: North America
14,Phenomenal,Eminem,male,north america,spotify,,North America,,,,,CONTINENT: North America
15,Try,P!nk,female,north america,spotify,,North America,,,,,CONTINENT: North America
16,Not To Much - Remastered 2016,Don Omar,male,north america,spotify,,South America,,,,,CONTINENT: South America
17,Love Sosa,Chief Keef,male,north america,spotify,,North America,,,,,CONTINENT: North America
18,Mama Knew Love,Anthony Hamilton,male,north america,spotify,,North America,,,,,CONTINENT: North America
19,Generé,Bipo Montana,male,north america,spotify,,North America,,,,,CONTINENT: North America
20,Did It Again,Lil Tecca,male,north america,spotify,,North America,,,,,CONTINENT: North America
21,I'll Be All You'll Ever Need,Trinere,female,north america,spotify,,North America,,,,,CONTINENT: North America
22,Heartless (feat. Mustard),Polo G,male,north america,spotify,,North America,,,,,CONTINENT: North America
23,Say My Name,Lil Yachty,male,north america,spotify,,North America,,,,,CONTINENT: North America
24,Without You - Remastered,Harry Nilsson,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
25,Raise Up,Petey Pablo,male,north america,spotify,,North America,,,,,CONTINENT: North America
26,Get the Party Started,P!nk,female,north america,spotify,,North America,,,,,CONTINENT: North America
27,Paloma Negra,Chavela Vargas,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
28,2025-11-07 00:00:00,Beyoncé,female,north america,spotify,,North America,,,,,CONTINENT: North America
29,My Nigga,YG,male,north america,spotify,,North America,,,,,CONTINENT: North America
30,pete davidson,Ariana Grande,female,north america,spotify,,North America,,,,,CONTINENT: North America
31,Go to Hell,Alice Cooper,male,north america,spotify,,North America,,,,,CONTINENT: North America
32,Paparazzi,Lady Gaga,female,north america,spotify,,North America,,,,,CONTINENT: North America
33,Where I Won't Be Found,Seven Lions,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
34,Go Getta,Jeezy,male,north america,spotify,,North America,,,,,CONTINENT: North America
35,California,DJ Quik,male,north america,spotify,,North America,,,,,CONTINENT: North America
36,How Ya Like Me Now - Longer Version,Kool Moe Dee,male,north america,spotify,,North America,,,,,CONTINENT: North America
