index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,reasoning,attribute_scores,emotions,romance_topics,party_club,violence,politics_religion,success_money,family,slang_usage,formal_language,profanity,intensifiers,hedges,first_person,second_person,third_person,confidence,doubt_uncertainty,politeness,aggression_toxicity,cultural_references
0,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,male,north america,spotify,Male,North America,"1. First I noticed the use of colloquialisms and phrasing common in American English, such as 'gosh' and the overall conversational tone. 2. Then I observed the lyrical content revolving around a romantic encounter with a female, utilizing persuasive language and playful banter. 3. This led me to conclude the artist is likely male, given the perspective of attempting to convince someone to stay, and located in North America due to the linguistic features.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
1,Satisfy You,Diddy,male,north america,spotify,Male,North America,"1. First I noticed the heavy use of first-person pronouns ('I,' 'me,' 'my') and second-person pronouns ('you,' 'your'), suggesting a focus on personal connection and direct address, common in North American hip-hop and R&B. 2. Then I observed the slang usage ('straight lace,' 'get down for yours,' 'ride like a soldier,' 'baguette diamond') and profanity, which further points towards a North American origin. 3. This led me to conclude that the artist is likely male and from North America, given the linguistic patterns observed.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
2,Tender Lover,Babyface,male,north america,spotify,Male,North America,"1. First I noticed a strong emphasis on romantic relationships and heartbreak, particularly the regret and apology expressed in lines like 'I never meant to hurt you' and 'so sorry.' This is a common theme in contemporary North American popular music. 2. Then I observed frequent use of first-person pronouns ('I,' 'my') alongside second-person pronouns ('you,' 'your'), suggesting a direct address to a former lover and personal reflection. The repetition of 'tender lover' and 'tender love' points to a male perspective expressing vulnerability and regret. 3. This led me to conclude that the artist is likely male, drawing on North American musical tropes of romantic regret and apology, and reflecting a personal narrative of failed love.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 3, 'formal_language': 2, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 9, 'second_person': 8, 'third_person': 2, 'confidence': 4, 'doubt_uncertainty': 5, 'politeness': 6, 'aggression_toxicity': 1, 'cultural_references': 3}",8,9,1,1,1,2,1,3,2,1,4,1,9,8,2,4,5,6,1,3
3,Una Vaina Loca,Fuego,male,north america,spotify,Male,North America,"1. The heavy use of first-person pronouns ('I,' 'me,' 'my') and second-person pronouns ('you,' 'your') suggests a focus on personal experience and direct address, a common trait in male-dominated genres. 2. The slang usage, profanity, and explicit sexual content, combined with the repetitive phrases, point toward a contemporary, potentially urban musical style common in North America. 3. The incorporation of Spanish loanwords ('mami,' 'locaa,' 'manbo bacano') and the references to specific sexual acts suggest a cultural influence prevalent in North American urban music scenes.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
4,La Mordidita,Ricky Martin,male,north america,spotify,Male,North America,"1. First I noticed a strong emphasis on physicality and a predatory tone, often associated with male perspectives in popular music. The repeated references to biting and dominance suggest a masculine lyrical style. 2. Then I observed the use of slang and informal language, particularly the repetition of 'ita ita ita' and phrases like 'let's go low'. This points towards a contemporary, potentially American style. 3. This led me to conclude that the artist is likely male and originates from North America, given the lyrical content and linguistic features.","{'emotions': 8, 'romance_topics': 9, 'party_club': 7, 'violence': 6, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 5, 'intensifiers': 6, 'hedges': 2, 'first_person': 8, 'second_person': 7, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 4}",8,9,7,6,1,2,1,7,1,5,6,2,8,7,2,7,3,1,7,4
5,Changes,2Pac,male,north america,spotify,Male,North America,"1. First I noticed the heavy use of African American Vernacular English (AAVE) features like 'nigga,' 'am,' and contractions like 'll,' which are common in North American hip-hop. 2. Then I observed the themes of poverty, systemic racism, police brutality, and drug dealing, which are frequently explored within the African American experience in North America. The references to Huey P. Newton and the Black Panther movement further support this. 3. This led me to conclude that the artist is likely male and from North America, specifically with roots in the African American community.","{'emotions': 9, 'romance_topics': 1, 'party_club': 1, 'violence': 8, 'politics_religion': 7, 'success_money': 6, 'family': 3, 'slang_usage': 10, 'formal_language': 1, 'profanity': 8, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 2, 'third_person': 4, 'confidence': 5, 'doubt_uncertainty': 4, 'politeness': 1, 'aggression_toxicity': 9, 'cultural_references': 8}",9,1,1,8,7,6,3,10,1,8,4,1,8,2,4,5,4,1,9,8
6,Suga Suga,Baby Bash,male,north america,spotify,Male,North America,"1. First I noticed a heavy use of slang terms and colloquialisms common in North American hip-hop culture, such as 'lick,' 'fat sack,' 'superfly chick,' and 'playa.' 2. Then I observed the frequent use of first-person pronouns ('I,' 'me,' 'my') and second-person pronouns ('you') in a boastful and celebratory manner, characteristic of male rappers. The lyrics also contain references to drug use and a lifestyle of luxury. 3. This led me to conclude that the artist is likely a male rapper from North America.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
7,Secrets,The Weeknd,male,north america,spotify,Male,North America,"1. First I noticed a significant use of repetition, particularly with phrases like 'my love,' 'lies,' and 'keep keep keep.' This stylistic choice is common in contemporary popular music, especially within North American genres like R&B and pop. 2. Then I observed a strong focus on romantic betrayal and emotional vulnerability, expressed through first-person pronouns and direct accusations. The lyrical content suggests a narrative of heartbreak and mistrust. 3. This led me to conclude that the artist is likely male, given the emotionally charged and somewhat aggressive tone, combined with the themes of romantic pursuit and deception, which are frequently explored by male artists in the specified region.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 1, 'profanity': 2, 'intensifiers': 3, 'hedges': 1, 'first_person': 10, 'second_person': 8, 'third_person': 1, 'confidence': 4, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 2}",9,10,1,1,1,1,1,4,1,2,3,1,10,8,1,4,3,1,5,2
8,Me Enamoré,Jay Wheeler,male,north america,spotify,Male,North America,"1. First I noticed the frequent use of first-person pronouns ('I,' 'me,' 'my') and expressions of intense emotion, particularly romantic longing, which is common in male-dominated pop music. 2. Then I observed the relatively straightforward and direct language, combined with some slang ('vent,' 'blind'), suggesting a North American origin. 3. This led me to conclude that the artist is likely a male from North America, given the lyrical content and linguistic style.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 6, 'formal_language': 2, 'profanity': 2, 'intensifiers': 6, 'hedges': 4, 'first_person': 10, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 6, 'politeness': 3, 'aggression_toxicity': 1, 'cultural_references': 3}",9,10,1,1,1,1,1,6,2,2,6,4,10,7,3,6,6,3,1,3
9,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,female,north america,spotify,Male,North America,"1. First I noticed a strong emphasis on personal empowerment and overcoming obstacles, often using metaphors like 'rockets,' 'clouds,' and 'roller coasters.' This type of motivational language is frequently found in North American pop music. 2. Then I observed the frequent use of first-person and second-person pronouns ('you and I,' 'your,' 'we'), indicating a direct address to the listener and a focus on shared experiences, which is common in male-led motivational songs. 3. This led me to conclude that the artist is likely male and originates from North America, given the lyrical themes and stylistic choices.","{'emotions': 7, 'romance_topics': 2, 'party_club': 3, 'violence': 1, 'politics_religion': 1, 'success_money': 5, 'family': 1, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,2,3,1,1,5,1,6,2,4,5,2,9,7,3,6,2,1,3,5
10,La Vida Es Una (feat. Pitbull),Lil Jon,male,north america,spotify,Male,North America,"1. First I noticed the frequent use of slang terms like 'mami,' 'boogie,' and the repetition of 'hey' and 'go,' which are common in North American, particularly Latin-influenced, popular music. 2. Then I observed the themes of partying, drinking, and attraction to women, presented in a direct and somewhat boastful manner. The repeated phrases and simple sentence structures also align with contemporary popular music styles prevalent in North America. 3. This led me to conclude that the artist is likely male and originates from North America, given the linguistic features and thematic content.","{'emotions': 7, 'romance_topics': 8, 'party_club': 10, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 7, 'second_person': 5, 'third_person': 2, 'confidence': 8, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 7}",7,8,10,1,1,3,1,9,1,3,6,1,7,5,2,8,1,1,4,7
11,We Own It (Fast & Furious),2 Chainz,male,north america,spotify,Male,North America,"1. First I noticed the frequent use of slang terms like 'fam,' 'paycation,' 'broad,' and 'dogs,' which are common in North American hip-hop. 2. Then I observed the themes of money, success, and overcoming adversity, frequently expressed in first-person narration. The references to 'chainz,' 'money,' and 'cash' are strong indicators of a rap persona focused on material wealth. 3. This led me to conclude the artist is likely a male rapper from North America.","{'emotions': 7, 'romance_topics': 6, 'party_club': 3, 'violence': 4, 'politics_religion': 1, 'success_money': 9, 'family': 5, 'slang_usage': 8, 'formal_language': 1, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 10, 'second_person': 4, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 7}",7,6,3,4,1,9,5,8,1,3,6,1,10,4,2,7,2,1,5,7
